company_id,issue,category
JINDALSTEL,ROE Difference,Formula Discrepancy
JINDALSTEL,ROE Difference,Formula Discrepancy
JINDALSTEL,ROE Difference,Formula Discrepancy
JIOFIN,Financial Sector,Bank ROCE Carve-Out
JIOFIN,Financial Sector,Bank ROCE Carve-Out
JSWENERGY,ROE Difference,Formula Discrepancy
JSWENERGY,ROE Difference,Formula Discrepancy
JSWENERGY,ROE Difference,Formula Discrepancy
JSWENERGY,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
JSWSTEEL,ROE Difference,Formula Discrepancy
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
KOTAKBANK,Financial Sector,Bank ROCE Carve-Out
LICI,Financial Sector,Bank ROCE Carve-Out
LICI,Financial Sector,Bank ROCE Carve-Out
LICI,Financial Sector,Bank ROCE Carve-Out
LICI,Financial Sector,Bank ROCE Carve-Out
LICI,Financial Sector,Bank ROCE Carve-Out
LICI,Financial Sector,Bank ROCE Carve-Out
LODHA,ROE Difference,Formula Discrepancy
LODHA,ROE Difference,Formula Discrepancy
LODHA,ROE Difference,Formula Discrepancy
LODHA,ROE Difference,Formula Discrepancy
LODHA,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LT,ROE Difference,Formula Discrepancy
LTIM,ROE Difference,Formula Discrepancy
LTIM,ROE Difference,Formula Discrepancy
LTIM,ROE Difference,Formula Discrepancy
